Grasp #	palm	maxofmiddle	maxofpalm
1	0.33	0.3825	1.255
2	0.356833333	0.5125	1.2225
3	0.019666667	0.78	0.19
4	0.401333333	0.5275	1.26
5	0.365	0.7525	1.0975
6	0.440666667	0.685	1.0925
7	0.520333333	0.675	1.09
8	0.004833333	0.8425	0.03
9	0.005333333	0.7425	0.055
10	0.001833333	0.77	0.0075
11	0.562	0.27	1.1175
12	0.015333333	0.7375	0.1275
13	0.332833333	0.22	1.135
14	0.011166667	0.23	0.1125
15	0.001833333	0.0425	0.005
16	0.0085	0.03	0.085
17	0.002333333	0.135	0.0075
18	0.0005	0.6175	0.0025
19	0.001166667	1.1425	0.0025
20	0.002166667	1.0125	0.005
21	0.529666667	0.495	1.14
22	0.372833333	1.1	1.0825
23	0.425166667	0.8175	1.09
24	0.4245	0.7725	1.13
25	0.3275	1.1375	1.23
26	0.383	0.8	1.1
27	0.563166667	0.94	1.1
28	0.005666667	1.0825	0.02
29	0.002333333	0.99	0.0075
30	0.0035	1.1	0.01
31	0.491666667	0.55	1.1225
32	0.3965	1.1	1.125
33	0.424333333	1.1625	1.1475
34	0.465666667	0.7725	1.1675
35	0.467833333	0.995	1.21
36	0.123166667	0.5125	0.96
37	0.605166667	0.825	1.25
38	0.002666667	1.205	0.005
39	0.001666667	1.12	0.005
40	0.001833333	1.1125	0.01
41	0.411166667	0.8625	1.2425
42	0.3615	0.8675	1.1075
43	0.409333333	0.855	1.115
44	0.3795	1.23	1.0875
45	0.5545	0.855	1.125
46	0.406	0.8125	1.11
47	0.449333333	0.865	1.1
48	0.002666667	1.1025	0.0075
49	0.001333333	1.135	0.005
50	0.002166667	1.145	0.0075
51	0.443	0.92	1.1425
52	0.388166667	1.0875	1.12
53	0.03	0.8425	0.265
54	0.464333333	0.8625	1.165
55	0.033	1.1525	0.355
56	0.431666667	0.8575	1.115
57	0.545166667	0.775	1.25
58	0.004833333	1.06	0.025
59	0.0025	1.0775	0.0075
60	0.000833333	0.01	0
61	0.014333333	0.045	0.125
62	0.005	0.025	0.03
63	0.115166667	0.19	0.8725
64	0.025833333	0.4375	0.17
65	0.002833333	0.605	0.02
66	0.009666667	0.8425	0.0525
67	0.1285	0.24	0.5775
68	0.0035	0.7575	0.0125
69	0.002333333	0.7175	0.005
70	0.0015	0.775	0.0025
71	0.036666667	0.9225	0.3525
72	0.072833333	0.63	0.385
73	0.078833333	0.0425	0.3525
74	0.0835	0.0475	0.4175
75	0.107666667	0.0475	0.8125
76	0.050166667	0.1975	0.3075
77	0.082833333	0.0075	0.655
78	0.045333333	0.02	0.3275
79	0.003166667	0.8325	0.0125
80	0.0015	0.7625	0.0025
81	0.001666667	0.9475	0.005
82	0.125666667	0.795	0.8275
83	0.104	0.6825	0.6425
84	0.120666667	0.885	0.83
85	0.008666667	0.0325	0.0775
86	0.097833333	0.39	0.6775
87	0.007666667	0.185	0.0675
88	0.028333333	0.02	0.145
89	0.096666667	0.3725	0.5575
90	0.002166667	1.025	0.005
91	0.001166667	1.125	0.0025
92	0.0015	1.145	0.005
93	0.008166667	1.155	0.09
94	0.052166667	0.6875	0.5675
95	0.113333333	1.115	1.0575
96	0.078333333	0.0175	0.7575
97	0.060833333	0.015	0.48
98	0.061666667	0.3075	0.44
99	0.002	1.1525	0.005
100	0.0015	1.1375	0.005
